name,combined_features
Fly and Destroy,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Casual;Indie
Dragon Knight,Action;Adventure;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Nudity;Sexual Content;Anime
Bacon Tales - Between Pigs and Wolves,Casual;Indie;Strategy Single-player;Steam Trading Cards Casual;Strategy;Indie
Anime Studio Simulator,Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards Anime;Simulation;Indie
Aussie Sports VR 2016,Sports Single-player Sports
Treasure of a Blizzard,Sexual Content;Adventure;Casual;Indie Single-player;Steam Trading Cards Nudity;Visual Novel;Adventure
$1 Ride,Action;Casual;Indie Single-player;Steam Trading Cards Casual;Indie;Action
Strategy & Tactics: Dark Ages,Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards Medieval;Strategy;Board Game
GALER: Plague of Heroes,RPG Single-player RPG;RPGMaker;Fantasy
Draconic Order VR,Violent;Gore;Adventure;Indie;RPG;Early Access Single-player Early Access;Adventure;RPG
Scrap Garden - The Day Before,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats Adventure;Action;Free to Play
SKIPCHASER,Action;Indie;RPG Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud Indie;Action;RPG
Totally Accurate Battle Simulator,Indie;Simulation;Strategy;Early Access Single-player Early Access;Simulation;Funny
MiniBotz,Action;Casual;Indie;Early Access Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Trading Cards;Partial Controller Support Early Access;Action;Indie
HackyZack,Action;Indie;Sports Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats Indie;Sports;Action
Haeven,Adventure;Indie;RPG Single-player;Steam Trading Cards Adventure;RPG;Indie
Sneak Thief,Action;Indie;Strategy;Early Access Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards Early Access;Action;Stealth
CrapsVR,Casual;Simulation;Sports;Strategy Single-player Simulation;Sports;Strategy
ROD: Revolt Of Defense,Action;Indie;Simulation;Strategy Single-player;Steam Trading Cards Strategy;Simulation;Action
PROJECT XINATRA,Action;Indie Single-player;Steam Leaderboards Action;Indie;Platformer
Soldiers Lost Forever (1914-1918),Action;Casual;Indie Single-player;Steam Trading Cards Action;Indie;Casual
Aircraft War X,Action;Indie;Simulation Single-player;Steam Trading Cards Indie;Action;Simulation
Domino VR,Indie;Simulation;Early Access Single-player;Steam Achievements Early Access;Indie;Simulation
AnimVR,Indie;Animation & Modeling Single-player;Local Multi-Player;Local Co-op Animation & Modeling;Indie;VR
Project Lounge,Casual;Indie;Early Access Single-player;Multi-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor Early Access;Indie;Casual
Painted Legend,Action;Adventure;Indie Single-player;Shared/Split Screen Action;Adventure;Indie
Wheels of Aurelia,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Adventure;Female Protagonist
Ball of Wonder,Casual;Indie Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;Casual
Flat Heroes,Action;Indie Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud Action;Indie;Local Multiplayer
Won't You Be My Laser?,Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards Indie;Casual
Broken Armor,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Indie;Pixel Graphics
Meteor Crush VR,Action;Indie Single-player;Steam Leaderboards Action;Indie;VR
Zup! X,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards Casual;Indie;Minimalist
"Deus Ex Machina, Game of the Year, 30th Anniversary Collector’s Edition",Indie Single-player;Full controller support;Commentary available Indie;Pixel Graphics
Mini Z Racers Turbo,Casual;Indie;Racing Single-player;Steam Achievements;Full controller support;Steam Trading Cards Racing;Indie;Casual
Escape Lizards,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards Action;Indie
Beerman,Action;Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support Action;Adventure;Indie
SizeBlock,Casual;Indie Single-player;Steam Trading Cards Indie;Casual;Puzzle
Crashday Redline Edition,Action;Racing Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor Racing;Action;Multiplayer
Handsome Mr. Frog,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards Action;Indie;Arcade
QUBIC,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Stats Casual;Indie;Puzzle
Super VR Trainer,Action;Casual;Indie;Sports Single-player;Steam Achievements;Stats;Steam Leaderboards Action;Indie;VR
Spikit,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Casual;Indie;Bullet Hell
RC-AirSim - RC Model Airplane Flight Simulator,Indie;Racing;Simulation Single-player;Full controller support Simulation;Indie;Racing
Gebub's Adventure,Adventure Single-player;Steam Achievements;Full controller support Adventure;2D
VRNinja,Action;Casual;Indie;Simulation Single-player;Steam Trading Cards;Steam Cloud;Steam Leaderboards Casual;Action;Indie
Rollout,Action;Casual;Free to Play;Indie;Early Access Multi-player;Online Multi-Player;Steam Achievements;Stats Early Access;Free to Play;Action
Clockwork,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available Puzzle-Platformer;Action;Casual
Save Jesus,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Memes;Illuminati;Casual
Erusal,Adventure;Indie Single-player Adventure;Indie;Horror
Lethal Brutal Racing,Action;Racing;Sports Single-player;Steam Trading Cards;Steam Leaderboards Racing;Action;Sports
TO THE TOP,Action;Indie;Racing Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;SteamVR Collectibles;Steam Cloud;Stats;Steam Leaderboards Indie;Action;Racing
Northern Regime,Action;Adventure;Casual;Indie;Simulation;Strategy;Early Access Single-player;Steam Achievements Early Access;Adventure;Action
One Night Two Crazies,Indie;Simulation;Strategy Single-player Indie;Strategy;Simulation
ThrounnelVR,Casual;Indie Single-player;Partial Controller Support Indie;Casual;VR
Abandoned Hospital VR,Adventure;Indie Single-player Indie;Adventure;VR
TRESPASS - Episode 1,Adventure;Simulation Single-player;Steam Cloud;Steam Leaderboards Adventure;Simulation;VR
GalaxIverse,Action;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;Indie;Casual
Lost in Harmony,Casual;Indie Single-player;Partial Controller Support Indie;Casual;Music
Riding Club Championships,Action;Free to Play;Racing;Sports Multi-player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Stats;Includes level editor Free to Play;Sports;Horses
God Simulator,Adventure;Casual;Indie;Racing Single-player Casual;Indie;Adventure
Colony,Casual;Simulation Single-player;Partial Controller Support Casual;Simulation
Gods and Nemesis: of Ghosts from Dragons,Action;Adventure;Free to Play;Indie;RPG;Early Access Single-player;Captions available;Stats Early Access;Free to Play;Adventure
SVRVIVE: The Deus Helix,Adventure;Indie Single-player Adventure;Indie;VR
Heroes of Dire,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;In-App Purchases;Stats Free to Play;RPG;Strategy
In Celebration of Violence,Action;Adventure;Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards RPG;Indie;Action
The Lord of the Rings: Living Card Game,Adventure;Casual;Strategy;Early Access Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases Early Access;Card Game;Strategy
Battle Time,Action;Adventure;Strategy Single-player;Steam Achievements;Steam Trading Cards;Stats Strategy;Action;Adventure
Beachhead 2000,Action;Casual;Simulation Single-player Action;Casual;Simulation
Last Stitch Goodnight,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available Indie;Adventure;Action
PostCollapse,Adventure;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards Indie;Simulation;Adventure
Fire Arrow Plus,Action;Indie Single-player;Full controller support Action;Indie;Shoot 'Em Up
The Last Weekend,Nudity;Adventure;Casual;Free to Play;Indie Single-player Nudity;Free to Play;Sexual Content
Super Grav,Action;Adventure;Indie;Racing Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards Indie;Racing;Action
Bumper,Action;Casual;Indie Single-player;Steam Trading Cards Action;Casual;Indie
Baezult,Adventure;Indie Single-player;Steam Trading Cards;Partial Controller Support Indie;Adventure;Puzzle
"The End o,,,o",Action;Adventure;Indie Single-player;Steam Achievements Action;Adventure;Indie
Night Vigil,RPG;Strategy Single-player;Steam Trading Cards;Captions available RPG;Strategy;Superhero
Doc Apocalypse,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards Adventure;Indie;Point & Click
NightmareZ,Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Action;Indie;Platformer
Pinga Ponga,Action;Casual;Indie Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards Action;Indie;Casual
BIGFOOT,Adventure;Indie;Early Access Single-player;Online Co-op;Steam Trading Cards Early Access;Multiplayer;Horror
Radioactive Puzzle,Casual;Indie;Simulation Single-player;Steam Trading Cards Indie;Casual;Simulation
Xecryst Remains,Action;Free to Play;Indie;RPG;Early Access Single-player;Co-op;Online Co-op;Steam Cloud Early Access;Free to Play;Action
A Matter of Murder,Adventure;Casual;Indie Single-player;Steam Achievements Casual;Adventure;Indie
You Have 10 Seconds,Free to Play;Indie Single-player;Partial Controller Support Free to Play;Indie;Platformer
Punch Bomb,Action;Indie;Early Access Single-player;Steam Achievements;Steam Leaderboards Early Access;Action;Indie
Shiperoids,Action;Casual;Indie Single-player;Partial Controller Support Action;Indie;Casual
Worldy Cup,Action;Indie;Sports;Early Access Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support Early Access;Indie;Sports
New Yankee in King Arthur's Court 2,Casual;Simulation;Strategy Single-player Strategy;Casual;Simulation
Power Link VR,Casual;Indie;Simulation;Sports Single-player Casual;Indie;Simulation
NDE Rescue,Action;Strategy Single-player;Steam Leaderboards Strategy;Action
Forgotten Heroes,RPG;Strategy Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards Strategy;RPG;Turn-Based
forma.8,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Indie;Action;Adventure
Super Destronaut,Action;Adventure;Casual;Indie Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support Action;Casual;Adventure
Orange Adventure,Adventure;Indie Single-player;Partial Controller Support Indie;Adventure;Platformer
DEXED,Action Single-player;Steam Achievements;Full controller support Action;VR
Conflict of Heroes: Awakening the Bear,Simulation;Strategy Single-player;Multi-player Simulation;Strategy;Board Game
Shotgun Raiders,Indie Single-player;Multi-player;Local Multi-Player;Partial Controller Support;Includes level editor Indie;Platformer;Arcade
Recession,Action;Indie;Early Access Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support Early Access;Action;Indie
GoVenture MICRO BUSINESS,Casual;Indie;Simulation;Strategy Single-player;Steam Trading Cards Casual;Strategy;Indie
Unknown Fate,Adventure;Indie Single-player;Full controller support Adventure;Indie;VR
Cogs and Cowboys,Action;Adventure;Early Access Single-player Early Access;Action;Adventure
The Hex,Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Indie;Singleplayer;Mystery
The Fall Part 2: Unbound,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Adventure;Indie
Executive Assault 2,Action;Indie;Strategy;Early Access Single-player;Multi-player;Co-op;Cross-Platform Multiplayer Early Access;Strategy;RTS
WWE 2K17,Violent;Simulation;Sports Single-player;Multi-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support Sports;Wrestling;Simulation
Little Red Lie,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Adventure;Indie;Story Rich
Long Gone Days,Indie;RPG;Early Access Single-player Early Access;RPG;Indie
Congo Merc,Strategy Single-player;Steam Achievements Strategy;Turn-Based;Board Game
CURSE,Adventure;Indie Single-player;Steam Achievements Indie;Adventure;Horror
D: The Game,Adventure Single-player;Steam Trading Cards Adventure;Horror;Classic
THOTH,Action;Indie Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Indie;Minimalist
Soccer Manager 2017,Free to Play;Indie;Sports;Strategy Single-player;In-App Purchases Free to Play;Sports;Strategy
Eventide 2: The Sorcerers Mirror,Adventure;Casual Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;Casual;Hidden Object
Big Bang Empire,Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy Single-player;MMO;Cross-Platform Multiplayer;In-App Purchases Nudity;Sexual Content;Mature
Re Angel,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;Indie;Visual Novel
Armor Clash VR,Action;Indie;Simulation;Strategy Single-player Strategy;Action;Indie
Bloxiq VR,Casual;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Strategy;Indie;Casual
Grim Seventh,Action;Indie Single-player;Steam Trading Cards Action;Indie;Magic
Konrad's Kittens,Casual;Indie;Simulation Single-player;Steam Achievements Indie;Casual;Simulation
Driftwood The Visual Novel,Casual;Free to Play;Indie;Simulation Single-player Free to Play;Casual;Visual Novel
SkyBoats,Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Turn-Based;Procedural Generation
The Sun Will Rise,Action;Adventure;Free to Play;Indie;RPG Single-player;Partial Controller Support Free to Play;RPG;Adventure
